,Procedure #,Procedure Description,CPT/HCPC,Charge,Blue Cross Charge,United Health Charge,Providence Charge,Aetna Charge,Cigna Charge,Moda Charge,First Choice Health Charge,First Choice Health - GSH Charge,EOCCO OP Charge,EOCCO IP Charge,Valenz Health Charge,Pacific Source Charge,PHCS Charge,MODA Advantage OP Charge,De-Identified Minimum Charge,De-Identified Maximum Charge
0,HGS10005,HGS PR FINE NEEDLE ASP/BIOPSY W/US; 1ST LESION,10005,111.0,99.9,99.9,105.44999999999999,105.44999999999999,105.44999999999999,105.44999999999999,103.23,66.6,41.07,95.46,107.67,105.44999999999999,105.44999999999999,48.951,41.07,107.67
1,6202501,FINE NEEDLE ASPIRATION BIOPSY W/US; 1ST LESION,10005,822.0,739.8000000000001,739.8000000000001,780.9,780.9,780.9,780.9,764.46,493.2,304.14,706.92,797.34,780.9,780.9,362.502,304.14,797.34
2,HGSP10005,HGS PR FNA BX W/US GDN 1ST LES,10005,111.0,99.9,99.9,105.44999999999999,105.44999999999999,105.44999999999999,105.44999999999999,103.23,66.6,41.07,95.46,107.67,105.44999999999999,105.44999999999999,48.951,41.07,107.67
3,3754983,FINE NDL ASP W/O GUIDANCE,10021,167.0,150.3,150.3,158.65,158.65,158.65,158.65,155.31,100.2,61.79,143.62,161.99,158.65,158.65,73.647,61.79,161.99
4,10021,FINE NEEDLE ASPIRATION BX W/O IMG GDN 1ST LESION,10021,323.0,290.7,290.7,306.84999999999997,306.84999999999997,306.84999999999997,306.84999999999997,300.39000000000004,193.79999999999998,119.51,277.78,313.31,306.84999999999997,306.84999999999997,142.443,119.51,313.31
5,6202444,FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,10022,797.0,717.3000000000001,717.3000000000001,757.15,757.15,757.15,757.15,741.21,478.2,294.89,685.42,773.09,757.15,757.15,351.47700000000003,294.89,773.09
6,HGS39441,HGS PR FINE NEEDLE ASPIRATION - PROFE,10022,408.0,367.2,367.2,387.59999999999997,387.59999999999997,387.59999999999997,387.59999999999997,379.44,244.79999999999998,150.96,350.88,395.76,387.59999999999997,387.59999999999997,179.928,150.96,395.76
7,8190159,I&D ABSCESS SIMPLE,10060,296.0,266.40000000000003,266.40000000000003,281.2,281.2,281.2,281.2,275.28000000000003,177.6,109.52,254.56,287.12,281.2,281.2,130.536,109.52,287.12
8,3750015,DRAINAGE OF SKIN ABSCESS,10060,329.0,296.1,296.1,312.55,312.55,312.55,312.55,305.97,197.4,121.73,282.94,319.13,312.55,312.55,145.08900000000003,121.73,319.13
9,HGSP10060,HGS PR DRAIN SKIN ABSCESS SIMPLE,10060,372.0,334.8,334.8,353.4,353.4,353.4,353.4,345.96000000000004,223.2,137.64,319.92,360.84,353.4,353.4,164.052,137.64,360.84
