,Charge Code,Description,CPT/HCPCS Code,Price
0,11500001.0,Hc Accomm Hospice Semi Priv,,8588.0
1,12000001.0,Hc Accomm Rehab Rhr,,15859.0
2,12000002.0,Hc Accomm Rhb - Head Injury,,10679.0
3,12000003.0,Hc Accomm Burn,,35018.0
4,12000005.0,Hc Accomm Maternity,,7746.0
5,12000006.0,Hc Accomm Med-surg Private,,9309.0
6,12000007.0,Hc Accomm Med-surg Semi-private,,8390.0
7,12000009.0,Hc Accomm Micc,,8598.0
8,12000010.0,Hc Accomm Nbn 1,,3981.0
9,12000011.0,Hc Accomm Nbn 2,,6753.0
10,12000018.0,Hc Accomm Picu,,25331.0
11,12000019.0,Hc Accomm Psychiatric,,3829.0
12,12000020.0,Hc Accomm Rehab,,10007.0
13,12000021.0,Hc Accomm Rtc Icu,,21271.0
14,12000022.0,Hc Accomm Rhb- Spinal Cord,,11016.0
15,12000023.0,Hc Accomm Med-surg Telemetry,,14041.0
16,12000024.0,Hc Accomm Trauma Icu,,31128.0
17,12000025.0,Hc Accomm Observation Per Hr,G0378,373.0
18,12000026.0,Hc Accomm Nicu Level 1,,34820.0
19,12000027.0,Hc Accomm Nicu Level 2,,36762.0
20,12000028.0,Hc Accomm Rtc Rhr,,15859.0
21,12000029.0,Hc Accomm Non-vent Bed Hold (mcal),,2346.0
22,12000030.0,Hc Accomm Subacute Tcc/snf,,2829.0
23,12000031.0,Hc Accomm Vent Bed Hold (medi-cal),,2407.0
24,12100001.0,Hc Accom Rm & Bed Outpt Holding,,0.0
25,12100002.0,Hc Accomm Subacute Non-vent,,5726.0
26,12100003.0,Hc Accomm Subacute Vent,,6013.0
27,12100004.0,Hc Accom Hold Bed,,0.0
28,12300001.0,Hc Accomm Pedi Acute,,8390.0
29,12800001.0,Hc Accomm Pedi Rehab,,10007.0
30,16900001.0,Hc Accomm Admin Day,,2869.0
31,17000001.0,Hc Accomm Nbn Boarder,,3981.0
32,20000001.0,Hc Accomm Neuro Icu,,23536.0
33,20100001.0,Hc Accomm Surg Intens Care,,23536.0
34,20200002.0,Hc Accomm Med Intens Care,,23536.0
35,20300001.0,Hc Accomm Pedi Trauma,,31128.0
36,20600001.0,Hc Accomm Icu Prog Care,,18445.0
37,21400001.0,Hc Accomm Card Care,,31128.0
38,21400002.0,Hc Accomm Ccu Prog Care,,18445.0
39,25000007.0,Hc Skin Sub Integra Msh Bilayer Wnd Per Sq Cm C936,C9363,
40,25000008.0,HC SEALANT HEMOSTATIC NO HCPCS,,
41,25100002.0,Hc Xenon/prov Of Nucld,A9558,205.0
42,25400001.0,Hc 67 Ga/prov Of Nucld,A9556,223.0
43,25400003.0,Hc 99mtc Rbc's/prov Of Nucld,A9560,101.0
44,25400004.0,Hc Mag3/prov Of Nucld,A9562,963.0
45,25500001.0,Hc Omnipaque 300 150ml Bottle,Q9967,181.0
46,25500002.0,Hc Omnipaque 300 50ml Bottle,Q9967,177.0
47,25500003.0,Hc Omnipaque 300mg 50ml Bottle,Q9967,60.0
48,25500005.0,Hc Visipaque 320 Mgi/ml 150ml,Q9967,481.0
49,25500006.0,Hc I-123 Solution/prov Of Nucld,A9509,738.0
50,25500007.0,Hc I-123 Dx100-999 Uci /prv Ncld,A9516,248.0
51,25500008.0,Hc Choletec/prov Of Nucld,A9537,290.0
52,25500009.0,Hc Pyp/prov Of Nuclid,A9538,216.0
53,25500010.0,Hc Maa/prov Of Nucld,A9540,139.0
54,25500012.0,Hc Sulfr Coloid/prov Of Nucld,A9541,224.0
55,25500013.0,Hc Filtered Sulf Colloid/prov Nuc,A9541,310.0
56,25500014.0,Hc Pertechinetate/prov Of Nucld,A9512,216.0
57,25500015.0,Hc Contrast Omnipaque 240 150ml Unit,Q9966,2.0
58,25500016.0,Hc Contrast Omnipaque 240 100ml Unit,Q9966,3.0
59,25500017.0,Hc Omnipaque 300 150ml Unit,Q9967,2.0
60,25500018.0,Hc Supp Cont Omnipaque 180 10ml,Q9965,20.0
61,25500019.0,Hc Contrast Material Non-rad Noc,A9698,119.0
62,26000001.0,Hc Hydration Infusion Each Addtl Hr,96361,249.0
63,26000002.0,Hc Iv Ther Infusion Each Addtl Hr,96366,249.0
64,26000003.0,Hc Hydration Infusion Int 31m-1hr,96360,1225.0
65,26000004.0,Hc Iv Ther Infusion Int Up To 1hr,96365,1225.0
66,26000005.0,Hc Prolonged Iv Infusion Req Pump,C8957,1945.0
67,26000006.0,Hc Pac Med Pneumatic Walking Boot,L4360,798.3
68,26000007.0,Hc Pac Med Adjustable Knee Brace Rigid/pre-fabrica,L1832,1575.0
69,27000001.0,Hc Bovie-handpiece Abc,,481.96
70,27000002.0,Hc Brace Knee Basic Reg Bk,,559.99
71,27000003.0,Hc Brace Knee Ortho,,678.02
72,27000004.0,Hc Cable 1.7 W/crimp 750 Ster,,2535.0
73,27000005.0,Hc Cast Barr Pantaloon Sz6,,771.69
74,27000006.0,Hc Cell Saver Basic Hi Speed,,570.83
75,27000007.0,Hc Cell Saver Set Anticoag & Asp,,220.33
76,27000008.0,Hc Cement T Mixer Bone Kyphon,,1117.99
77,27000009.0,Hc Cnstr Filt Smk Evac,,432.0
78,27000010.0,Hc Coupling Cmpct Rod Rod 5/5,,
79,27000011.0,Hc Cov Microscp,,277.84
80,27000012.0,Hc Cuff Tournquet Sgl Bladd 18in,,841.56
