,Charge Code,Description,Default CPT/HCPCS Code,2023 Primary Price
0,0680T,PR  INSJ/RPLCMT PG ONLY ISDSS,0680T,118847.0
1,0681T,PR RLCJ PULSE GEN ONLY ISDSS,0681T,118847.0
2,G2171,PR AVF USE MAGNETIC/ART/VEN,G2171,65407.0
3,39503,"REPAIR DIAPHR HERNIA,NEONATE",39503,62035.0
4,47135,"TRANSPLANT LIVER,ALLOTRANSPLANT",47135,58367.0
5,49605,REPAIR LARGE OMPHALOCELE,49605,52661.0
6,43116,"PART REMOV ESOPHAGUS,CERVICAL",43116,52652.0
7,33935,"TRANSPLANTATION, HEART/LUNG",33935,52118.0
8,33945,TRANSPLANTATION OF HEART,33945,51520.0
9,32854,"LUNG TRANSPLANT,DBL W CP BYPASS",32854,51445.0
10,47142,"PARTIAL REMOVAL, DONOR LIVER, RIGHT LOBE",47142,50833.0
11,0686T,PR HISTOTRIPSY MAL HEPATCEL TIS,0686T,49417.0
12,61698,COMPLX ANEURYSM SURG/VERT-BASILAR CIRC,61698,49028.0
13,32853,"LUNG TRANSPLANT,DOUBLE",32853,48545.0
14,61686,"BRAIN AVM SURG,INFRATENT,COMPLX",61686,47684.0
15,43123,"PART RMV ESOPH,THORACOABD APP,W/COL INT",43123,47593.0
16,43108,"EXCIS ESOPH,W/O THORAC,W/COLON INTERPOS",43108,47080.0
17,53451,PR TPRNL BALO CNTNC DEV BI,53451,46371.0
18,47141,"PARTIAL REMOVAL, DONOR LIVER, LEFT LOBE",47141,46238.0
19,43113,"EXCIS ESOPH,W/THORACOT,W/COLON INTERPOS",43113,46118.0
20,46748,"RECLOACAL ANOMALY,VAGINAL LENGTH",46748,45605.0
21,0674T,PR LAPS INSJ NW/RPCMT PRM ISDSS,0674T,45397.0
22,0675T,PR LAPS INSJ NW/RPCMT ISDSS 1LD,0675T,45397.0
23,61576,TRANSORAL APPR+SPLIT TONGUE/MANDIBLE,61576,45263.0
24,33916,PULM ENDARTERECTOMY,33916,44928.0
25,61697,COMPLEX ANEURYSM SURG/CAROTID CIRC,61697,44451.0
26,20808,"REPLANTATION, HAND, COMPLETE",20808,44192.0
27,61682,"BRAIN AVM SURG,SUPRATENT,COMPLX",61682,43674.0
28,33305,REPAIR HEART WND W CP BYPASS,33305,43277.0
29,0235T,"Pr Transluminal Peripheral Atherectomy, Visceral A",0235T,43151.0
30,0238T,"TRANSLUMINAL PERIPHERAL ATHERECTOMY, ILIAC ARTERY,",0238T,43151.0
31,26554,"DOUBLE TOE-HAND XFER,MICROVASC ANAST",26554,42796.0
32,61702,"VERTEBROBASILLAR CIRC, SIMPLE SURG",61702,42233.0
33,46746,"RECLOACAL ANOMALY,COMBINED APPRC",46746,42104.0
34,43124,"REMOVAL OF ESOPHAGUS,NO RECONSTRUC",43124,40450.0
35,61520,EXCIS INFRATENT CP ANGLE TUMOR,61520,39797.0
36,47140,"PARTIAL REMOVAL, DONOR LIVER",47140,38729.0
