,"CDM
Number",CODE DESCRIPTION,CPT CODE,REVENUE CDE,CHARGE
0,504761,ADMIN HEP B VACCINE      ,90471,771,160.0
1,504720,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
2,504787,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
3,504746,ADMIN PNEUMO VACCINE     ,90471,771,160.0
4,505355,BRONCH BRONCHOSCOPY DIAG ,31622,761,8557.0
5,505172,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
6,505381,INF IV HYDRA INIT 31-60MN,96360,260,896.0
7,505382,INF IV HYDRAT EA ADD HR  ,96361,260,560.0
8,505386,INF TX/DX CONCURRENT     ,96368,260,1132.0
9,505384,INF TX/DX/PRO EA ADD HR  ,96366,260,560.0
10,505383,INF TX/DX/PRO INIT 1ST HR,96365,260,896.0
11,505385,INF TX/DX/PRO SEQ 1HR    ,96367,260,896.0
12,505389,INJ TX/DX/PRO IV PUSH SEQ,96375,260,349.0
13,505388,INJ TX/DX/PRO IVPUSH INIT,96374,260,349.0
14,505387,INJ TX/DX/PROPH SUBQ/IM  ,96372,260,276.0
15,505390,INJ TX/PRO/DX IVP SME DRG,96376,260,318.0
16,505289,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
17,505408,OBSERVATION PER HOUR     ,G0378       ,762,303.0
18,40303,ROOM ICU GEN 1:1         ,            ,200,20254.0
19,20172,ROOM ICU GEN 1:2         ,            ,200,19330.0
20,30031,ROOM ICU GEN 1:2         ,            ,200,19330.0
21,30304,ROOM ICU GEN 1:2         ,            ,200,19330.0
22,30957,ROOM ICU GEN 1:2         ,            ,200,19330.0
23,50195,ROOM ICU GEN 1:2         ,            ,200,19330.0
24,70300,ROOM ICU GEN 2:1         ,            ,200,23457.0
25,50302,ROOM INTER ICU/TELE      ,            ,206,13205.0
26,10306,ROOM SEMI GENERAL        ,            ,120,7491.0
27,505354,THORACENTESIS W IMAGING  ,32555,761,1630.0
28,505405,AD EVKD POTEN HS INT/RPT ,92651,471,538.0
29,505404,AD EVKD POTEN SC ATM ANLS,92650,471,538.0
30,504829,ADMIN HEP B VACCINE      ,90471,771,160.0
31,504803,ADMIN PNEUMO VACCINE     ,90471,771,160.0
32,504482,CAR SEAT/BED TEST 60MIN  ,94780,460,113.0
33,504483,CAR SEAT/BED TEST ADD 30 ,94781,460,57.0
34,599994,CV CATH/PICC LEVEL 1     ,            ,761,3583.0
35,504480,DOP ECHO COLOR FLOW ADDON,93325,483,865.0
36,504464,DOP ECHO COMP STUDY ADDON,93320,483,1573.0
37,504449,ECH CNG TRNSTHR COM WOCON,93303,483,1609.0
38,505305,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
39,30205,NEWBORN II ON NICU       ,            ,172,27542.0
40,50203,NEWBORN LVL IV 1:1       ,            ,174,33536.0
41,40204,NEWBORN NICU III         ,            ,173,31400.0
42,505370,THORACENTESIS W IMAGING  ,32555,761,1630.0
43,504886,ADMIN HEP B VACCINE      ,90471,771,160.0
44,504845,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
45,504860,ADMIN PNEUMO VACCINE     ,90471,771,160.0
46,505180,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
47,505391,INF IV HYDRA INIT 31-60MN,96360,260,896.0
48,505392,INF IV HYDRAT EA ADD HR  ,96361,260,560.0
49,505396,INF TX/DX CONCURRENT     ,96368,260,1132.0
50,505394,INF TX/DX/PRO EA ADD HR  ,96366,260,560.0
51,505393,INF TX/DX/PRO INIT 1ST HR,96365,260,896.0
52,505395,INF TX/DX/PRO SEQ 1HR    ,96367,260,896.0
53,505399,INJ TX/DX/PRO IV PUSH SEQ,96375,260,349.0
54,505398,INJ TX/DX/PRO IVPUSH INIT,96374,260,349.0
55,505397,INJ TX/DX/PROPH SUBQ/IM  ,96372,260,276.0
56,505400,INJ TX/PRO/DX IVP SME DRG,96376,260,318.0
57,505271,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
58,505409,OBSERVATION PER HOUR     ,G0378       ,762,303.0
59,20032,ROOM CCU GEN 1:1         ,            ,210,14496.0
60,40956,ROOM CCU GEN 1:1         ,            ,210,14496.0
61,50377,ROOM CCU GEN 1:1         ,            ,210,14496.0
62,80101,ROOM ICU MED 1:2         ,            ,202,12820.0
63,20958,ROOM INTER ICU/TELE      ,            ,206,13205.0
64,30171,ROOM INTER ICU/TELE      ,            ,206,13205.0
65,50039,ROOM INTER ICU/TELE      ,            ,206,13205.0
66,50104,ROOM INTER ICU/TELE      ,            ,206,13205.0
67,50351,ROOM INTER ICU/TELE      ,            ,206,13205.0
68,80192,ROOM INTER ICU/TELE      ,            ,206,13205.0
69,80358,ROOM INTER ICU/TELE      ,            ,206,14496.0
70,80374,ROOM INTER ICU/TELE      ,            ,206,13205.0
71,10355,ROOM SEMI GENERAL        ,            ,120,7491.0
72,10371,ROOM SEMI GENERAL        ,            ,120,7491.0
73,505347,THORACENTESIS W IMAGING  ,32555,761,1630.0
74,504944,ADMIN HEP B VACCINE      ,90471,771,160.0
75,504902,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
76,504928,ADMIN PNEUMO VACCINE     ,90471,771,160.0
77,504945,CHEMO INF EA ADD HR      ,96415,335,560.0
78,504947,CHEMO INF EA SEQ 1ST HR  ,96417,335,896.0
79,504949,CHEMO INF INIT 1ST HR    ,96413,335,896.0
80,504946,CHEMO IV INF PUMP PROLONG,96416,335,980.0
81,504943,CHEMO IV PUSH EA ADD     ,96411,331,560.0
82,504942,CHEMO IV PUSH INITIAL    ,96409,331,896.0
83,504941,CHEMO SQ/IM HORMONAL     ,96402,331,770.0
84,504940,CHEMO SQ/IM NONHORMONAL  ,96401,331,770.0
85,505416,CHG CYSTOSTOMY TUBE SMPL ,            ,761,1025.0
86,505198,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
87,505371,INCIS/DRAIN/ASP LEVEL 3  ,            ,761,4862.0
88,504930,INF IV HYDRA INIT 31-60MN,96360,260,896.0
89,504931,INF IV HYDRAT EA ADD HR  ,96361,260,560.0
90,504935,INF TX/DX CONCURRENT     ,96368,260,1132.0
91,504933,INF TX/DX/PRO EA ADD HR  ,96366,260,560.0
92,504932,INF TX/DX/PRO INIT 1ST HR,96365,260,896.0
93,504934,INF TX/DX/PRO SEQ 1HR    ,96367,260,896.0
94,504938,INJ TX/DX/PRO IV PUSH SEQ,96375,260,349.0
95,504937,INJ TX/DX/PRO IVPUSH INIT,96374,260,349.0
96,504948,INJ TX/DX/PROPH SUBQ/IM  ,96372,260,276.0
97,504939,INJ TX/PRO/DX IVP SME DRG,96376,260,318.0
98,505418,IRRIG/LAV/INSTL BLAD/OTHR,            ,761,874.0
99,505417,LEVEL 1 AIRWAY ENDOSCOPY ,            ,761,1386.0
100,505263,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
101,505410,OBSERVATION PER HOUR     ,G0378       ,762,303.0
102,40352,ROOM INTER ICU/TELE      ,            ,206,13205.0
103,109,ROOM INTER ICU/TELE      ,            ,206,13205.0
104,10033,ROOM SEMI GENERAL        ,            ,120,7491.0
105,10108,ROOM SEMI GENERAL        ,            ,120,7491.0
106,10173,ROOM SEMI GENERAL        ,            ,120,7491.0
107,20198,ROOM SEMI GENERAL        ,            ,120,7491.0
108,40170,ROOM SEMI GENERAL        ,            ,120,7491.0
109,70953,ROOM SEMI GENERAL        ,            ,120,7491.0
110,356,ROOM SEMI GENERAL        ,            ,120,7491.0
111,20107,ROOM SEMI ONCOLOGY       ,            ,127,7964.0
112,30106,ROOM SEMI PVT REHAB      ,            ,128,6001.0
113,505339,THORACENTESIS W IMAGING  ,32555,761,1630.0
114,504977,ADMIN HEP B VACCINE      ,90471,771,160.0
115,504936,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
116,504951,ADMIN PNEUMO VACCINE     ,90471,771,160.0
117,504966,CHEMO INF EA ADD HR      ,96415,335,560.0
118,504968,CHEMO INF EA SEQ 1ST HR  ,96417,335,896.0
119,504965,CHEMO INF INIT 1ST HR    ,96413,335,896.0
120,504967,CHEMO IV INF PUMP PROLONG,96416,335,980.0
121,504964,CHEMO IV PUSH EA ADD     ,96411,331,560.0
122,504963,CHEMO IV PUSH INITIAL    ,96409,331,896.0
123,504962,CHEMO SQ/IM HORMONAL     ,96402,331,770.0
124,504961,CHEMO SQ/IM NONHORMONAL  ,96401,331,770.0
125,505206,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
126,504950,INF IV HYDRA INIT 31-60MN,96360,260,896.0
127,504952,INF IV HYDRAT EA ADD HR  ,96361,260,560.0
128,504956,INF TX/DX CONCURRENT     ,96368,260,1132.0
129,504954,INF TX/DX/PRO EA ADD HR  ,96366,260,560.0
130,504953,INF TX/DX/PRO INIT 1ST HR,96365,260,896.0
131,504955,INF TX/DX/PRO SEQ 1HR    ,96367,260,896.0
132,504959,INJ TX/DX/PRO IV PUSH SEQ,96375,260,349.0
133,504958,INJ TX/DX/PRO IVPUSH INIT,96374,260,349.0
134,504957,INJ TX/DX/PROPH SUBQ/IM  ,96372,260,276.0
135,504960,INJ TX/PRO/DX IVP SME DRG,96376,260,318.0
136,505248,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
137,505411,OBSERVATION PER HOUR     ,G0378       ,762,303.0
138,174,ROOM SEMI GENERAL        ,            ,120,7491.0
139,10157,ROOM SEMI GENERAL        ,            ,120,7491.0
140,40030,ROOM SEMI GENERAL        ,            ,120,7491.0
141,50955,ROOM SEMI GENERAL        ,            ,120,7491.0
142,70748,ROOM SEMI GENERAL        ,            ,120,7491.0
143,20156,ROOM SEMI ONCOLOGY       ,            ,127,7964.0
144,30742,ROOM SEMI ONCOLOGY       ,            ,127,7964.0
145,70151,ROOM SEMI PVT REHAB      ,            ,128,6001.0
146,943,SUBACU CARE GENERAL      ,            ,190,1545.0
147,30940,SUBACU CARE LVL III      ,            ,193,2587.0
148,20941,SUBACUT CARE LVL II      ,            ,192,2035.0
149,40949,SUBACUT CARE LVL IV      ,            ,194,3367.0
150,10942,SUBACUTE CARE LVL I      ,            ,191,1638.0
151,505313,THORACENTESIS W IMAGING  ,32555,761,1630.0
152,505314,THORACENTESIS WO IMAGING ,32554,761,1522.0
153,505415,TX FX/DISLOC LEVEL 2     ,            ,761,2318.0
154,505323,VENIPUNCT >3YR PHY SKILL ,36410,761,3578.0
155,505164,ADMIN HEP B VACCINE      ,90471,771,160.0
156,505123,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
157,505149,ADMIN PNEUMO VACCINE     ,90471,771,160.0
158,505214,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
159,505322,INCIS/DRAIN/ASP LEVEL 1  ,            ,761,862.0
160,505372,INF IV HYDRA INIT 31-60MN,96360,260,896.0
161,505373,INF IV HYDRAT EA ADD HR  ,96361,260,560.0
162,505377,INF TX/DX CONCURRENT     ,96368,260,1132.0
163,505375,INF TX/DX/PRO EA ADD HR  ,96366,260,560.0
164,505374,INF TX/DX/PRO INIT 1ST HR,96365,260,896.0
165,505376,INF TX/DX/PRO SEQ 1HR    ,96367,260,896.0
166,505379,INJ TX/DX/PRO IV PUSH SEQ,96375,260,349.0
167,505378,INJ TX/DX/PRO IVPUSH INIT,96374,260,349.0
168,505230,INJ TX/DX/PROPH SUBQ/IM  ,96372,260,276.0
169,505380,INJ TX/PRO/DX IVP SME DRG,96376,260,318.0
170,505255,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
171,505412,OBSERVATION PER HOUR     ,G0378       ,762,303.0
172,10744,ROOM SEMI GENERAL        ,            ,120,7491.0
173,80036,ROOM SEMI GENERAL        ,            ,120,7491.0
174,80952,ROOM SEMI GENERAL        ,            ,120,7491.0
175,20743,ROOM SEMI ONCOLOGY       ,            ,127,7964.0
176,505321,THORACENTESIS W IMAGING  ,32555,761,1630.0
177,599995,CV CATH/PICC LEVEL 1     ,            ,761,3583.0
178,505222,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
179,505413,PED OBSERV ON OB PER HR  ,G0378       ,762,303.0
180,20552,ROOM SEMI PED ON OB      ,            ,123,7828.0
181,60038,ROOM SEMI PED ON OB      ,            ,123,7828.0
182,505008,ADMIN HEP B VACCINE      ,90471,771,160.0
183,505032,ADMIN HEP B VACCINE      ,90471,771,160.0
184,504969,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
185,504993,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
186,504985,ADMIN PNEUMO VACCINE     ,90471,771,160.0
187,505016,ADMIN PNEUMO VACCINE     ,90471,771,160.0
188,5053354,DIRECT ADMISSION FOR OBSV,G0379       ,762,958.0
189,505297,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
190,505414,M/S/G OBSERV ON OB PER HR,G0378       ,762,303.0
191,554,ROOM SEMI M/S/G OB       ,            ,121,5470.0
192,30551,ROOM SEMI OB HI RSK      ,            ,122,13137.0
193,10553,ROOM SEMI PVT OB         ,            ,122,5470.0
194,505362,THORACENTESIS W IMAGING  ,32555,761,1630.0
195,600239,ADMIN HEP B VACCINE      ,90471,771,160.0
196,600197,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
197,600213,ADMIN PNEUMO VACCINE     ,90471,771,160.0
198,600247,LUMBAR PUNCTURE DIAGNOSTC,62270,761,1401.0
199,600214,OBSERVATION PER HOUR     ,G0378       ,762,194.0
200,40725,ROOM CCU GEN 1:1         ,            ,210,14496.0
201,70722,ROOM ICU GEN 1:1         ,            ,200,20254.0
202,50724,ROOM ICU GEN 1:2         ,            ,200,19330.0
203,80721,ROOM ICU GEN 2:1         ,            ,200,23457.0
204,30726,ROOM INTER ICU/TELE      ,            ,206,13205.0
205,20727,ROOM SEMI GENERAL        ,            ,120,7491.0
206,10728,ROOM SEMI PVT REHAB      ,            ,128,6001.0
207,600254,THORACENTESIS W IMAGING  ,32555,761,1630.0
208,505065,ADMIN HEP B VACCINE      ,90471,771,160.0
209,505024,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
210,505040,ADMIN PNEUMO VACCINE     ,90471,771,160.0
211,504484,CAR SEAT/BED TEST 60MIN  ,94780,460,113.0
212,504485,CAR SEAT/BED TEST ADD 30 ,94781,460,57.0
213,90456,NEWBORN GENERAL          ,            ,170,3569.0
214,80457,NEWBORN II ON NURSY      ,            ,172,7600.0
215,3017274,ADMIN HEP B VACCINE      ,90471,771,139.0
216,3015948,ADMIN INFLUENZA VACCINE  ,90471,771,160.0
217,3013315,ADMIN OTHER IMMUN VAC ADD,90472,771,86.0
218,3013281,ADMIN OTHER IMMUN VAC ONE,90471,771,160.0
219,3016219,ADMIN PNEUMO VACCINE     ,90471,771,160.0
220,3017423,ALCOH/SUBST INTERV >30MN ,G0397       ,450,612.0
221,3017456,ALCOH/SUBST INTERV 15-30 ,G0396       ,450,122.0
222,3015674,ANOSCOPY DIAGNOSTIC      ,            ,450,587.0
223,3017027,APPLICATION OF CAST      ,            ,450,697.0
224,3015179,APPLICATION OF SPLINT    ,            ,450,392.0
225,3017381,ARTERIAL CATH/CANN PERC  ,36620,450,539.0
226,3017357,ARTERIAL PUNCTURE        ,36600,450,539.0
227,3017365,BLADDER PROCEDURE LEVEL 1,            ,450,184.0
228,3017142,BLADDER PROCEDURE LEVEL 2,            ,450,587.0
229,3017803,CANALITH REPOS PER DAY   ,95992,450,144.0
230,3012176,CARDIOVERSION ELCTIVE EXT,92960,450,2830.0
231,3017001,CATH FOR SPECIMEN COLLECT,P9612       ,300,37.0
232,3016516,CAUT/CNTRL BLEED LEVEL 1 ,            ,450,487.0
233,3017605,CAUT/CNTRL BLEED LEVEL 2 ,            ,450,2077.0
234,3000247,CB EMERGENCY ROOM SERVICE,            ,4,210.0
235,3015971,CHANGE TUBE SIMPLE       ,            ,450,1487.0
