Run Date: 2/12/2023 12:23:33 AM
CDM Date Stamp: 9/23/2022

Procedure Code,Description,Price Tier,Revenue Code,CPT HCPCS Code,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge
20000009_1,PNEUMONIA VACCINE ADMIN,Inpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
20000009_1,PNEUMONIA VACCINE ADMIN,Outpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
20000022_1,ROOM/BED ICU/CCU,Inpatient,0200,,,0,12730.00,12730.00,12730.00,12730.00
20000024_1,ROOM/BED ICU/TRAUMA,Inpatient,0208,,,0,34943.00,34943.00,34943.00,34943.00
20000206_1,ROOM/BED INTERM CARE,Inpatient,0206,,,0,11638.00,11638.00,11638.00,11638.00
20822706_1,BEDSIDE OCCULT BLOOD,Inpatient,0301,82270,,0,67.00,67.00,67.00,67.00
20822706_1,BEDSIDE OCCULT BLOOD,Outpatient,0301,82270,,0,67.00,67.00,67.00,67.00
20822730_1,BEDSIDE GASTROCCULT TEST,Inpatient,0301,82271,,0,44.00,44.00,44.00,44.00
20822730_1,BEDSIDE GASTROCCULT TEST,Outpatient,0301,82271,,0,44.00,44.00,44.00,44.00
21000004_1,ROOM/BED NICU LEV III,Inpatient,0174,,,0,17447.00,17447.00,17447.00,17447.00
21000005_1,ROOM/BED NSY LEV 1,Inpatient,0172,,,0,11501.00,11501.00,11501.00,11501.00
21000020_1,ROOM/BED NSY,Inpatient,0171,,,0,3591.00,3591.00,3591.00,3591.00
21010004_1,ALGO HEARING TEST,Inpatient,0471,V5008,,0,358.00,358.00,358.00,358.00
21010004_1,ALGO HEARING TEST,Outpatient,0471,V5008,,0,358.00,358.00,358.00,358.00
21010087_1,REPOGLE SUMP TUBE 6 FR,Inpatient,0272,,,0,42.00,42.00,42.00,42.00
21010087_1,REPOGLE SUMP TUBE 6 FR,Outpatient,0272,,,0,42.00,42.00,42.00,42.00
21010202_1,SWEET EASE,Inpatient,0270,,,0,34.00,34.00,34.00,34.00
21010202_1,SWEET EASE,Outpatient,0270,,,0,34.00,34.00,34.00,34.00
21010301_1,SUPPLY,Inpatient,0272,A4300,,0,926.00,926.00,926.00,926.00
21010301_1,SUPPLY,Outpatient,0272,A4300,,0,926.00,926.00,926.00,926.00
21010327_1,CATH UMBILICAL 5 FR DBL LUM,Inpatient,0272,,,0,615.00,615.00,615.00,615.00
21010327_1,CATH UMBILICAL 5 FR DBL LUM,Outpatient,0272,,,0,615.00,615.00,615.00,615.00
21010368_1,SUPPLY,Inpatient,0272,A4300,,0,436.00,436.00,436.00,436.00
21010368_1,SUPPLY,Outpatient,0272,A4300,,0,436.00,436.00,436.00,436.00
21010467_1,FEEDING TUBE 8 FR NG,Inpatient,0272,,,0,285.00,285.00,285.00,285.00
21010467_1,FEEDING TUBE 8 FR NG,Outpatient,0272,,,0,285.00,285.00,285.00,285.00
21010483_1,FEEDING TUBE 6 FR NG,Inpatient,0272,,,0,285.00,285.00,285.00,285.00
21010483_1,FEEDING TUBE 6 FR NG,Outpatient,0272,,,0,285.00,285.00,285.00,285.00
21300009_1,ROOM/BED NICU LEV 2,Inpatient,0173,,,0,13958.00,13958.00,13958.00,13958.00
21822705_1,BEDSIDE OCCULT BLOOD,Inpatient,0301,82270,,0,67.00,67.00,67.00,67.00
21822705_1,BEDSIDE OCCULT BLOOD,Outpatient,0301,82270,,0,67.00,67.00,67.00,67.00
21843164_1,BLOOD GAS,Inpatient,0300,82803,,0,234.00,234.00,234.00,234.00
21843164_1,BLOOD GAS,Outpatient,0300,82803,,0,234.00,234.00,234.00,234.00
